State,Week_Ending,"Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026"
,,Location,Weekly Average,Weekly Change,Variation,Weekly low,Weekly high
NSW ACT,"Week ending Sunday, 5th April  2026",Tweed Heads South,237.3,-13.5,-2.1,224.7,259.3
NSW ACT,"Week ending Sunday, 5th April  2026",Ulladulla,254.0,-7.7,+14.6,236.8,266.9
NSW ACT,"Week ending Sunday, 5th April  2026",Wagga Wagga,240.9,-12.2,+1.5,230.7,256.3
NSW ACT,"Week ending Sunday, 5th April  2026",Wauchope,242.7,-12.3,+3.3,231.4,260.0
NSW ACT,"Week ending Sunday, 5th April  2026",West Wyalong,251.4,-11.4,+12.0,244.2,265.4
NSW ACT,"Week ending Sunday, 5th April  2026",Wollongong,241.7,-11.7,+2.3,229.6,259.1
NSW ACT,"Week ending Sunday, 5th April  2026",Woolgoolga,249.6,-9.1,+10.2,239.0,262.7
NSW ACT,"Week ending Sunday, 5th April  2026",Yass,241.3,-17.1,+1.9,229.6,261.2
Victoria,"Week ending Sunday, 5th April  2026",Victorian State Average,240.6,-12.9,+0.4,229.0,259.2
Victoria,"Week ending Sunday, 5th April  2026",Melbourne,240.2,-12.8,-,228.3,259.4
Victoria,"Week ending Sunday, 5th April  2026",Victorian Regional Average,241.6,-13.1,+1.4,231.0,258.6
Victoria,"Week ending Sunday, 5th April  2026",Ararat,245.4,-12.5,+5.2,234.2,260.4
Victoria,"Week ending Sunday, 5th April  2026",Bairnsdale,240.5,-14.4,+0.3,230.9,259.0
Victoria,"Week ending Sunday, 5th April  2026",Ballarat,242.8,-12.6,+2.6,230.9,259.8
Victoria,"Week ending Sunday, 5th April  2026",Benalla,243.7,-11.3,+3.6,232.3,257.9
Victoria,"Week ending Sunday, 5th April  2026",Bendigo,238.8,-14.2,-1.4,227.4,256.3
Victoria,"Week ending Sunday, 5th April  2026",Cobram,253.4,-3.9,+13.2,243.1,261.7
Victoria,"Week ending Sunday, 5th April  2026",Colac,240.9,-12.7,+0.7,229.7,259.0
Victoria,"Week ending Sunday, 5th April  2026",Corryong,n.a.,-,-,-,-
Victoria,"Week ending Sunday, 5th April  2026",Echuca,240.6,-13.5,+0.4,229.8,257.2
Victoria,"Week ending Sunday, 5th April  2026",Euroa,240.5,-14.9,+0.3,227.1,259.9
Victoria,"Week ending Sunday, 5th April  2026",Geelong,238.3,-14.0,-1.8,226.5,257.7
Victoria,"Week ending Sunday, 5th April  2026",Hamilton,240.7,-15.5,+0.6,230.4,259.8
Victoria,"Week ending Sunday, 5th April  2026",Horsham,241.5,-14.4,+1.3,230.2,258.8
Victoria,"Week ending Sunday, 5th April  2026",Koo Wee Rup,242.5,-11.7,+2.3,226.7,261.7
Victoria,"Week ending Sunday, 5th April  2026",Kyabram,244.5,-9.2,+4.3,230.2,259.6
Victoria,"Week ending Sunday, 5th April  2026",Leongatha,242.2,-15.0,+2.0,231.9,258.5
Victoria,"Week ending Sunday, 5th April  2026",Mildura,249.6,-10.9,+9.4,240.2,263.8
Victoria,"Week ending Sunday, 5th April  2026",Moe,240.9,-14.0,+0.7,229.6,259.1
Victoria,"Week ending Sunday, 5th April  2026",Morwell,245.1,-11.2,+4.9,234.3,260.7
Victoria,"Week ending Sunday, 5th April  2026",Portland,239.4,-13.6,-0.8,224.7,257.0
Victoria,"Week ending Sunday, 5th April  2026",Sale,250.5,-12.0,+10.3,241.3,264.9
Victoria,"Week ending Sunday, 5th April  2026",Seymour,239.5,-14.9,-0.7,227.3,258.3
Victoria,"Week ending Sunday, 5th April  2026",Shepparton,239.4,-10.9,-0.8,231.1,254.4
Victoria,"Week ending Sunday, 5th April  2026",Swan Hill,247.7,-10.2,+7.5,236.9,261.6
Victoria,"Week ending Sunday, 5th April  2026",Traralgon,242.2,-14.2,+2.0,230.1,259.8
Victoria,"Week ending Sunday, 5th April  2026",Wallan,247.8,-8.4,+7.6,235.6,260.2
Victoria,"Week ending Sunday, 5th April  2026",Wangaratta,247.8,-10.3,+7.6,236.1,262.4
Victoria,"Week ending Sunday, 5th April  2026",Warrnambool,239.3,-14.4,-0.9,226.9,257.3
Victoria,"Week ending Sunday, 5th April  2026",Wodonga,243.0,-12.8,+2.9,231.1,260.6
